date_maj;origin;dest;horizon;date_cible;lowest_price;price_level;typical_min;typical_max;devise
2026-08-07;BIA;TLS;J90;2026-11-05;181;typical;105;370;EUR
2026-08-07;BIA;TLS;J7;2026-08-14;185;typical;145;295;EUR
