date_maj;origin;dest;horizon;date_cible;lowest_price;price_level;typical_min;typical_max;devise
2026-08-07;MRS;FSC;J90;2026-11-05;118;typical;75;260;EUR
2026-08-07;MRS;FSC;J7;2026-08-14;242;typical;150;280;EUR
