date_maj;origin;dest;horizon;date_cible;lowest_price;price_level;typical_min;typical_max;devise
2026-08-07;FSC;NCE;J90;2026-11-05;127;typical;80;250;EUR
2026-08-07;FSC;NCE;J7;2026-08-14;484;high;170;315;EUR
