date_maj;origin;dest;horizon;date_cible;lowest_price;price_level;typical_min;typical_max;devise
2026-08-07;NCE;FSC;J90;2026-11-05;132;typical;75;245;EUR
2026-08-07;NCE;FSC;J7;2026-08-14;251;typical;145;300;EUR
