date_maj;origin;dest;horizon;date_cible;lowest_price;price_level;typical_min;typical_max;devise
2026-08-07;AJA;ORY;J90;2026-11-05;91;low;120;255;EUR
2026-08-07;AJA;ORY;J7;2026-08-14;341;typical;170;375;EUR
